layer_i,layer_j,meanK
14,33,0.0004828372057631802
14,34,0.00031384418374611243
14,35,0.0002039987194349389
14,36,0.00013259916763271612
14,37,8.618945896125492e-05
14,38,5.602314832481332e-05
14,39,3.64150464111344e-05
14,40,2.3669780167236888e-05
14,41,1.538535710870485e-05
14,42,1.0000482120656358e-05
14,43,6.500313378424659e-06
14,44,4.225203695976275e-06
14,45,2.7463824023849388e-06
14,46,1.7851485615496216e-06
14,47,1.1603465650071415e-06
14,48,7.542252672549003e-07
14,49,4.90246423716088e-07
14,50,3.186601754152012e-07
15,0,0.0015620694889553737
15,1,0.0034185289969830717
15,2,0.005919249739057735
15,3,0.009535521393492964
15,4,0.014948872079779008
15,5,0.023179510196484943
15,6,0.035778594465604815
15,7,0.05512056769170549
15,8,0.0848506479058584
15,9,0.13057181176380947
15,10,0.2009007401464713
15,11,0.30909173109520566
15,12,0.4755346252118935
15,13,0.7315975063877345
15,14,1.1255383791520652
15,15,1.731599946448854
15,16,1.1255399651917737
15,17,0.7316009773746208
15,18,0.47554063529352414
15,19,0.30910141294079124
15,20,0.20091591841149853
15,21,0.13059534696747396
15,22,0.08488697552886279
15,23,0.05517653409376167
15,24,0.035864747160946696
15,25,0.02331208565461401
15,26,0.01515285567549911
15,27,0.00984935618907513
15,28,0.006402081522898185
15,29,0.004161352989884108
15,30,0.0027048794434242716
15,31,0.0017581716382258157
15,32,0.0011428115648468595
15,33,0.0007428275171504266
15,34,0.0004828378861477795
15,35,0.0003138446259961035
15,36,0.0002039990068974327
15,37,0.0001325993544833431
15,38,8.618958041416577e-05
15,39,5.6023227269196716e-05
15,40,3.641509772498104e-05
15,41,2.3669813521237723e-05
15,42,1.5385378788804938e-05
15,43,1.0000496212722563e-05
15,44,6.500322538267692e-06
15,45,4.225209649874365e-06
15,46,2.7463862724190745e-06
15,47,1.7851510770715457e-06
15,48,1.1603482000964172e-06
15,49,7.542263300630046e-07
15,50,4.902471145414222e-07
16,0,0.0010153451678210645
16,1,0.002222043848039101
16,2,0.0038475123303874704
16,3,0.006198088905770593
16,4,0.00971676685185642
16,5,0.01506668162771524
16,6,0.023256086402643147
16,7,0.035828368999607584
16,8,0.05515292113880732
16,9,0.0848716776464746
16,10,0.13058548109521045
16,11,0.2009096252118819
16,12,0.3090975063877259
16,13,0.475538379152033
16,14,0.7315999464488168
16,15,1.1255399651917737
16,16,1.7316009773746648
16,17,1.1255406352935513
16,18,0.73160141294077
16,19,0.4755409184115271
16,20,0.30910159696749434
16,21,0.20091603802885755
16,22,0.1305954247187533
16,23,0.08488702606719567
16,24,0.05517656694367823
16,25,0.03586476851339276
16,26,0.02331209953370394
16,27,0.015152864696907358
16,28,0.009849362052990317
16,29,0.006402085334442853
16,30,0.004161355467388322
16,31,0.002704881053801951
16,32,0.0017581726849712597
16,33,0.0011428122452313927
16,34,0.0007428279594004165
16,35,0.0004828381736102723
16,36,0.0003138448128467254
16,37,0.00020399912835034024
16,38,0.00013259943342773547
16,39,8.618963172802277e-05
16,40,5.6023260623196366e-05
16,41,3.641511940507831e-05
16,42,2.366982761330171e-05
16,43,1.5385387948646124e-05
16,44,1.0000502166620687e-05
16,45,6.500326408301268e-06
16,46,4.225212165396296e-06
16,47,2.746387907508687e-06
16,48,1.7851521398795658e-06
16,49,1.1603488909216388e-06
16,50,7.542267790997081e-07
17,0,0.0006599743590836612
17,1,0.0014443285012254567
17,2,0.0025008830147519876
17,3,0.004028757788750825
17,4,0.006315898453706781
17,5,0.009793343058015066
17,6,0.015116456161718294
17,7,0.023288439849744855
17,8,0.03584939874022417
17,9,0.0551665904702081
17,10,0.08488056271188539
17,11,0.13059125638772778
17,12,0.20091337915201815
17,13,0.3090999464488199
17,14,0.475539965191745
17,15,0.7316009773746208
17,16,1.1255406352935513
17,17,1.7316014129408208
17,18,1.1255409184115535
17,19,0.7316015969674654
17,20,0.4755410380288848
17,21,0.3091016747187811
17,22,0.20091608856719362
17,23,0.1305954575686681
17,24,0.08488704741964147
17,25,0.05517658082276819
17,26,0.03586477753480149
17,27,0.023312105397619604
17,28,0.015152868508452226
17,29,0.00984936453049439
17,30,0.006402086944820325
17,31,0.0041613565141338325
17,32,0.0027048817341864652
17,33,0.0017581731272211635
17,34,0.0011428125326938257
17,35,0.0007428281462510367
17,36,0.00048283829506317515
17,37,0.000313844891791116
17,38,0.00020399917966419526
17,39,0.00013259946678173532
17,40,8.618965340812964e-05
17,41,5.602327471526508e-05
17,42,3.641512856491693e-05
17,43,2.3669833567197512e-05
17,44,1.5385391818678223e-05
17,45,1.0000504682145024e-05
17,46,6.500328043390357e-06
17,47,4.225213228204311e-06
17,48,2.746388598334229e-06
17,49,1.7851525889159518e-06
17,50,1.1603491827954548e-06
18,0,0.00042898333340435796
18,1,0.0009388135257965089
18,2,0.0016255739595888187
18,3,0.002618692562688202
18,4,0.004105333994909429
18,5,0.006365672987709876
18,6,0.009825696505117157
18,7,0.015137485902334625
18,8,0.023302109181145256
18,9,0.035858283805634994
18,10,0.05517236576272532
18,11,0.08488431665202176
18,12,0.13059369644881466
18,13,0.20091496519172464
18,14,0.3091009773746337
18,15,0.47554063529352414
18,16,0.73160141294077
18,17,1.1255409184115535
18,18,1.7316015969675225
18,19,1.1255410380289097
18,20,0.7316016747187419
18,21,0.47554108856722166
18,22,0.3091017075687027
18,23,0.20091610991964232
18,24,0.1305954714477564
18,25,0.08488705644104995
18,26,0.05517658668668388
18,27,0.035864781346346915
18,28,0.023312107875124045
18,29,0.015152870118829872
18,30,0.009849365577239784
18,31,0.006402087625204664
18,32,0.004161356956383642
18,33,0.00270488202164888
18,34,0.0017581733140718142
18,35,0.0011428126541466737
18,36,0.0007428282251954963
18,37,0.0004828383463770278
18,38,0.0003138449251451225
18,39,0.0002039992013442952
18,40,0.00013259948087378554
